index,Name,Team,W,L,SV,G,GS,IP,K_9,BB_9,HR_9,BABIP,LOB_pct,GB_pct,HR_FB,vFA,ERA,xERA,FIP,xFIP,WAR,K/9,BB/9,K_BB,SIERA,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Top50_Indicator
1,Taylor Cole,LAA,0,0,0,2,2,2.1,15.43,11.57,7.71,0.5,0.556,0.286,0.667,92.6,23.14,14.05,17.3,8.28,-0.3,15.43,11.57,1.33,5.42,,,,,,,,,,,,,,,,,,,,,0
2,Chris Flexen,NYM,0,1,0,1,1,3.0,6.0,9.0,3.0,0.364,0.526,0.25,0.143,92.5,15.0,8.33,10.16,9.68,-0.1,6.0,9.0,0.67,7.34,,,,,,,,,,,,,,,,,,,,,0
3,Luke Farrell,CHC,0,2,0,2,2,6.0,9.0,6.0,3.0,0.333,0.392,0.15,0.2,91.4,13.5,9.72,7.99,6.41,-0.2,9.0,6.0,1.5,5.61,,,,,,,,,,,,,,,,,,,,,0
4,Jalen Beeks,BOS,0,1,0,1,1,4.0,9.0,6.75,2.25,0.429,0.465,0.2,0.143,92.1,13.5,4.69,6.66,6.3,0.0,9.0,6.75,1.33,5.75,,,,,,,,,,,,,,,,,,,,,0
5,Evan Phillips,BAL,0,1,0,1,1,2.0,9.0,0.0,4.5,0.333,0.0,0.0,0.2,92.1,13.5,8.56,7.66,5.29,0.0,9.0,0.0,2.0,5.59,,,,,,,,,,,,,,,,,,,,,0
6,Stephen Gonsalves,MIN,0,2,0,4,4,12.1,4.38,9.49,1.46,0.44,0.54,0.308,0.125,90.0,11.68,12.47,7.7,7.74,-0.2,4.38,9.49,0.46,7.51,,,,,,,,,,,,,,,,,,,,,0
7,Drew Gagnon,NYM,0,1,0,1,1,4.2,5.79,1.93,3.86,0.333,0.556,0.333,0.333,91.5,11.57,7.03,9.37,5.93,-0.2,5.79,1.93,3.0,4.99,,,,,,,,,,,,,,,,,,,,,0
8,P.J. Conlon,NYM,0,0,0,2,2,5.2,3.18,3.18,3.18,0.417,0.625,0.269,0.167,86.2,11.12,6.59,8.1,7.01,-0.2,3.18,3.18,1.0,6.49,,,,,,,,,,,,,,,,,,,,,0
9,Zack Littell,MIN,0,1,0,2,2,7.0,6.43,7.71,1.29,0.333,0.548,0.375,0.1,92.0,10.29,6.9,6.59,7.09,-0.1,6.43,7.71,0.83,6.5,,,,,,,,,,,,,,,,,,,,,0
10,Deck McGuire,LAA,0,2,0,4,4,9.2,12.1,6.52,3.72,0.391,0.69,0.333,0.364,93.0,10.24,7.96,8.95,5.45,-0.3,12.1,6.52,1.86,4.57,,,,,,,,,,,,,,,,,,,,,0
11,Walker Lockett,SDP,0,3,0,3,3,13.0,6.92,6.23,2.77,0.326,0.607,0.532,0.286,92.3,9.69,6.8,7.7,5.48,-0.3,6.92,6.23,1.11,5.57,,,,,,,,,,,,,,,,,,,,,0
12,Burch Smith,KCR,1,4,0,6,6,22.1,8.06,3.63,2.42,0.338,0.49,0.397,0.231,92.6,9.67,5.37,6.21,4.64,-0.2,8.06,3.63,2.22,4.62,,,,,,,,,,,,,,,,,,,,,0
13,Josh Lucas,OAK,0,0,0,1,1,2.0,4.5,13.5,0.0,0.5,0.667,0.5,0.0,90.0,9.0,10.74,6.66,6.66,0.0,4.5,13.5,0.33,9.15,,,,,,,,,,,,,,,,,,,,,0
14,Jace Fry,CHW,0,1,0,1,1,1.0,18.0,9.0,9.0,0.5,1.0,0.0,0.5,93.6,9.0,18.89,15.16,5.46,-0.1,18.0,9.0,2.0,4.68,,,,,,,,,,,,,,,,,,,,,0
15,Josh Rogers,BAL,1,2,0,3,3,11.2,4.63,3.86,1.54,0.349,0.573,0.378,0.105,89.5,8.49,6.63,5.65,6.11,0.0,4.63,3.86,1.2,5.84,,,,,,,,,,,,,,,,,,,,,0
16,Tyler Beede,SFG,0,1,0,2,2,7.2,10.57,9.39,0.0,0.409,0.611,0.455,0.0,92.7,8.22,3.98,4.33,5.63,0.1,10.57,9.39,1.13,5.86,,,,,,,,,,,,,,,,,,,,,0
17,Carson Fulmer,CHW,2,4,0,8,8,31.0,7.55,6.97,2.03,0.284,0.602,0.327,0.152,92.9,8.13,9.38,7.22,6.74,-0.5,7.55,6.97,1.08,6.01,,,,,,,,,,,,,,,,,,,,,0
18,Trevor Oaks,KCR,0,2,0,2,2,9.0,6.0,5.0,0.0,0.424,0.579,0.387,0.0,90.8,8.0,9.28,3.49,5.51,0.2,6.0,5.0,1.2,5.7,,,,,,,,,,,,,,,,,,,,,0
19,Clay Holmes,PIT,1,2,0,4,4,15.0,7.2,7.8,1.2,0.375,0.629,0.469,0.143,95.0,7.8,5.5,5.89,5.7,-0.1,7.2,7.8,0.92,6.17,,,,,,,,,,,,,,,,,,,,,0
20,Caleb Ferguson,LAD,0,1,0,3,3,10.2,10.12,5.06,1.69,0.269,0.493,0.444,0.25,92.9,7.59,5.66,5.6,4.4,-0.1,10.12,5.06,2.0,4.38,,,,,,,,,,,,,,,,,,,,,0
21,Ryan Carpenter,DET,1,2,0,5,5,21.2,5.82,1.25,3.32,0.342,0.719,0.349,0.308,90.1,7.48,8.23,7.36,4.54,-0.4,5.82,1.25,4.67,4.69,,,,,,,,,,,,,,,,,,,,,0
22,Aaron Slegers,MIN,1,1,0,2,2,7.1,2.45,1.23,2.45,0.296,0.652,0.31,0.167,90.2,7.36,13.01,6.98,6.14,-0.1,2.45,1.23,2.0,5.99,,,,,,,,,,,,,,,,,,,,,0
23,Yohander Méndez,TEX,1,2,0,5,5,21.0,5.57,5.14,1.71,0.288,0.578,0.357,0.129,92.3,7.29,4.42,6.11,6.07,-0.1,5.57,5.14,1.08,5.98,,,,,,,,,,,,,,,,,,,,,0
24,Drew Anderson,PHI,0,1,0,1,1,5.0,7.2,1.8,0.0,0.421,0.556,0.444,0.0,93.0,7.2,4.99,2.16,3.81,0.2,7.2,1.8,4.0,4.24,,,,,,,,,,,,,,,,,,,,,0
25,Kolby Allard,ATL,1,0,0,1,1,5.0,1.8,3.6,1.8,0.381,0.66,0.429,0.167,89.2,7.2,8.78,7.16,6.54,-0.1,1.8,3.6,0.5,6.38,,,,,,,,,,,,,,,,,,,,,1
26,Jacob Nix,SDP,2,5,0,9,9,42.1,4.46,2.76,1.7,0.306,0.623,0.397,0.14,93.0,7.02,8.27,5.83,5.6,-0.4,4.46,2.76,1.62,5.49,,,,,,,,,,,,,,,,,,,,,0
27,Yefry Ramírez,BAL,1,8,0,12,12,53.1,8.94,5.4,1.86,0.304,0.653,0.321,0.147,92.7,6.92,4.68,5.88,5.52,0.0,8.94,5.4,1.66,5.06,,,,,,,,,,,,,,,,,,,,,0
28,Enyel De Los Santos,PHI,1,0,0,2,2,10.2,6.75,3.38,1.69,0.313,0.634,0.382,0.167,93.9,6.75,5.54,5.5,4.92,0.0,6.75,3.38,2.0,4.87,,,,,,,,,,,,,,,,,,,,,0
29,Austin Voth,WSN,1,1,0,2,2,9.1,7.71,4.82,0.96,0.31,0.588,0.5,0.091,91.3,6.75,3.22,4.45,5.0,0.1,7.71,4.82,1.6,4.99,,,,,,,,,,,,,,,,,,,,,0
30,Ranger Suarez,PHI,1,1,0,3,3,12.0,7.5,3.75,2.25,0.385,0.532,0.439,0.214,92.6,6.75,6.41,5.99,4.67,-0.1,7.5,3.75,2.0,4.78,,,,,,,,,,,,,,,,,,,,,0
31,Brett Kennedy,SDP,1,2,0,6,6,26.2,6.07,4.05,2.02,0.333,0.721,0.4,0.188,91.5,6.75,5.88,6.31,5.37,-0.3,6.07,4.05,1.5,5.36,,,,,,,,,,,,,,,,,,,,,0
32,Jefry Rodriguez,WSN,2,2,0,8,8,38.2,7.22,6.52,1.63,0.266,0.629,0.42,0.163,95.6,6.75,6.03,6.32,5.8,-0.3,7.22,6.52,1.11,5.85,,,,,,,,,,,,,,,,,,,,,0
33,Kohl Stewart,MIN,0,1,0,4,4,16.1,6.06,4.96,0.55,0.39,0.685,0.567,0.063,93.4,6.61,5.2,4.63,5.45,0.1,6.06,4.96,1.22,5.22,,,,,,,,,,,,,,,,,,,,,0
34,Spencer Turnbull,DET,0,2,0,3,3,15.1,8.22,2.35,0.59,0.34,0.51,0.438,0.077,93.7,6.46,4.36,2.96,3.52,0.4,8.22,2.35,3.5,3.92,,,,,,,,,,,,,,,,,,,,,0
35,Domingo Germán,NYY,2,5,0,14,14,68.1,10.4,3.42,1.71,0.296,0.609,0.396,0.165,94.5,6.19,3.85,4.68,4.12,0.6,10.4,3.42,3.04,3.84,,,,,,,,,,,,,,,,,,,,,0
36,Jeff Brigham,MIA,0,4,0,4,4,16.1,6.61,7.16,1.1,0.292,0.709,0.163,0.069,93.1,6.06,6.53,6.04,7.38,-0.2,6.61,7.16,0.92,6.86,,,,,,,,,,,,,,,,,,,,,0
37,Dillon Peters,MIA,2,2,0,5,5,24.2,5.84,4.74,1.46,0.286,0.698,0.443,0.16,90.7,5.84,5.49,5.67,5.24,-0.2,5.84,4.74,1.23,5.53,,,,,,,,,,,,,,,,,,,,,0
38,Merandy Gonzalez,MIA,0,1,0,1,1,4.2,5.79,0.0,1.93,0.412,0.758,0.333,0.167,92.8,5.79,6.93,4.66,4.0,0.0,5.79,0.0,3.0,4.36,,,,,,,,,,,,,,,,,,,,,0
39,Ariel Jurado,TEX,3,4,0,8,8,41.0,3.51,2.63,1.32,0.289,0.652,0.541,0.154,92.2,5.71,5.71,5.16,4.83,0.3,3.51,2.63,1.33,5.15,,,,,,,,,,,,,,,,,,,,,0
40,Erick Fedde,WSN,2,4,0,11,11,50.1,8.23,3.93,1.43,0.333,0.699,0.531,0.222,93.6,5.54,5.77,4.71,3.83,0.3,8.23,3.93,2.09,4.27,,,,,,,,,,,,,,,,,,,,,0
41,Anthony Banda,TBR,0,0,0,1,1,5.0,1.8,0.0,0.0,0.333,0.5,0.353,0.0,94.3,5.4,6.14,2.76,4.08,0.2,1.8,0.0,1.0,5.37,,,,,,,,,,,,,,,,,,,,,0
42,Chance Adams,NYY,0,1,0,1,1,5.0,3.6,1.8,3.6,0.077,0.833,0.4,0.333,92.8,5.4,12.73,8.16,4.94,-0.1,3.6,1.8,2.0,5.35,,,,,,,,,,,,,,,,,,,,,0
43,Artie Lewicki,DET,0,2,0,3,3,13.1,6.07,4.72,0.67,0.364,0.636,0.455,0.1,91.4,5.4,6.76,4.59,4.85,0.2,6.07,4.72,1.29,5.3,,,,,,,,,,,,,,,,,,,,,0
44,Luis Ortiz,BAL,0,1,0,1,1,1.2,0.0,5.4,0.0,0.4,0.4,0.6,0.0,92.5,5.4,6.28,4.96,7.93,0.0,0.0,5.4,0.0,6.44,,,,,,,,,,,,,,,,,,,,,0
45,Nick Kingham,PIT,5,7,0,15,15,71.0,8.24,3.04,2.15,0.281,0.702,0.397,0.198,92.3,5.32,4.95,5.67,4.56,-0.3,8.24,3.04,2.71,4.38,,,,,,,,,,,,,,,,,,,,,0
