player_name,retro_id,mlb_id,bref_id,fg_id,Team
Jose Fernandez,,699912,,28020,
Justin Crawford,,702222,,31791,
Foster Griffin,,656492,,16432,
George Klassen,,691946,,33464,
Nicky Lopez,lopen001,670032,lopezni01,19339,
Dee Strange-Gordon,gordd002,543829,gordode01,8203,
Victor Robles,roblv001,645302,roblevi01,18363,
Jonah Heim,heimj001,641680,heimjo01,16930,
James McCann,mccaj001,543510,mccanja02,12859,
Ha-Seong Kim,kim-h002,673490,kimha01,27506,
Jackie Bradley,bradj001,598265,bradlja02,12984,
Martin Maldonado,maldm001,455117,maldoma01,6887,
Tyrone Taylor,taylt002,621438,tayloty01,13675,
Guillermo Heredia,hereg002,628338,heredgu01,18721,
Josh Harrison,harrj002,543281,harrijo05,8202,
Ernie Clement,cleme002,676391,clemeer01,20352,
Chas McCormick,mccoc001,676801,mccorch01,19599,
Johan Camargo,camaj001,622666,camarjo01,14950,
Eric Haase,haase001,606992,haaseer01,14111,
Rylan Bannon,bannr001,676625,bannory01,19768,
Erik Gonzalez,gonze004,570481,gonzaer01,13369,
Jeremy Pena,penaj004,665161,penaje02,21636,
PJ Higgins,higgp001,664731,higgipj01,18433,
Sebastian Rivero,rives002,665861,riverse01,21735,
Bobby Dalbec,dalbb001,666915,dalbebo01,19966,
Isaac Paredes,parei001,670623,paredis01,20036,
Travis Swaggerty,swagt001,680552,swaggtr01,24491,
Jose Miranda,miraj002,669304,miranjo01,20538,
Jonathan Villar,villj001,542340,villajo01,10071,
Jonah Bride,bridj001,681146,bridejo01,24703,
Jeter Downs,downj001,669023,downsje01,22202,
Nick Maton,maton001,665155,matonni01,21635,
Carlos Perez,perec005,656024,perezca03,20805,
Will Benson,bensw001,666181,bensowi01,21853,
Whit Merrifield,merrw001,593160,merriwh01,11281,
Patrick Corbin,corbp001,571578,corbipa01,9323,
Alex Wood,wooda002,622072,woodal02,13781,
Joey Lucchesi,luccj001,664192,lucchjo01,19320,
Rich Hill,hillr001,448179,hillri01,4806,
Jason Castro,castj006,488771,castrja01,8722,
Jon Gray,grayj003,592351,grayjo02,14916,
Miles Mikolas,mikom001,571945,mikolmi01,9803,
Tyler Beede,beedt001,595881,beedety01,16981,
Stephen Strasburg,stras001,544931,strasst01,10131,
Steven Matz,matzs001,571927,matzst01,13361,
Jeff Samardzija,samaj001,502188,samarje01,3254,
Jacob deGrom,degrj001,594798,degroja01,10954,
Zach Eflin,efliz001,621107,eflinza01,13774,
Wade Miley,milew001,489119,mileywa01,8779,
Jefry Rodriguez,rodrj005,622446,rodrije01,17018,
Clay Holmes,holmc001,605280,holmecl01,13649,
Jabari Blash,blasj001,518466,blashja01,11247,
Kevan Smith,smitk002,607345,smithke04,12284,
Ramon Laureano,laurr001,657656,laurera01,17128,
Ranger Suarez,suarr001,624133,suarera01,17277,
Brandon Lowe,loweb001,664040,lowebr01,18882,
Cody Reed,reedc002,642003,reedco01,15232,
Alec Bettinger,betta001,676424,bettial01,20312,
Wil Crowe,croww001,640444,crowewi01,19800,
Keegan Thompson,thomk002,624522,thompke02,19795,
