#,Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,top100,top20,Top50_Indicator
1,2018,Ronald Acuña Jr.,ATL,111,487,26,78,64,16,0.092,0.253,0.259,0.352,0.293,0.366,0.552,0.388,0.375,142.0,2.2,27.4,0.4,4.4,1.0,1.0,1
2,2018,Joey Wendle,TBR,139,545,7,62,61,16,0.068,0.176,0.136,0.353,0.3,0.354,0.435,0.338,0.304,117.0,3.3,14.6,5.4,4.0,,,0
3,2018,Miguel Andujar,NYY,149,606,27,83,92,2,0.041,0.16,0.23,0.316,0.297,0.328,0.527,0.361,0.322,129.0,-0.2,21.1,-4.2,3.9,1.0,,1
4,2018,Harrison Bader,STL,138,427,12,61,37,15,0.073,0.293,0.158,0.358,0.264,0.334,0.422,0.326,0.286,107.0,4.5,8.1,14.8,3.7,,,0
5,2018,Juan Soto,WSN,116,494,22,77,70,5,0.16,0.2,0.225,0.338,0.292,0.406,0.517,0.392,0.372,146.0,0.9,28.4,-7.8,3.7,1.0,,1
6,2018,Brian Anderson,MIA,156,670,11,87,65,2,0.093,0.193,0.127,0.332,0.273,0.357,0.4,0.333,0.334,113.0,0.1,10.9,-2.2,3.0,,,0
7,2018,Max Stassi,HOU,88,250,8,28,27,0,0.092,0.296,0.167,0.302,0.226,0.316,0.394,0.313,0.303,100.0,-1.4,-1.3,21.0,2.9,,,0
8,2018,Jorge Alfaro,PHI,108,377,10,35,37,3,0.048,0.366,0.145,0.406,0.262,0.324,0.407,0.314,0.298,95.0,0.6,-1.6,17.6,2.8,1.0,,1
9,2018,Shohei Ohtani,LAA,114,367,22,59,61,10,0.101,0.278,0.279,0.35,0.285,0.361,0.564,0.39,0.381,149.0,1.3,23.0,-8.9,2.7,1.0,1.0,1
10,2018,Jeff McNeil,NYM,63,248,3,35,19,7,0.056,0.097,0.142,0.359,0.329,0.381,0.471,0.368,0.329,136.0,3.9,14.9,3.2,2.6,,,0
11,2018,Gleyber Torres,NYY,123,484,24,54,77,6,0.087,0.252,0.209,0.321,0.271,0.34,0.48,0.349,0.338,121.0,-1.8,10.5,-2.9,2.5,1.0,1.0,1
12,2018,Niko Goodrum,DET,131,492,16,55,53,12,0.085,0.268,0.187,0.312,0.245,0.315,0.432,0.322,0.311,101.0,2.4,3.0,-1.7,1.9,,,0
13,2018,Ramón Laureano,OAK,48,176,5,27,19,7,0.091,0.284,0.186,0.388,0.288,0.358,0.474,0.357,0.343,131.0,2.6,9.1,2.9,1.9,,,0
14,2018,Christian Villanueva,SDP,110,384,20,42,46,3,0.06,0.271,0.214,0.276,0.236,0.299,0.45,0.323,0.3,104.0,0.4,2.2,2.4,1.7,,,0
15,2018,Luke Voit,2 Tms,47,161,15,30,36,0,0.106,0.267,0.35,0.365,0.322,0.398,0.671,0.447,0.437,188.0,0.0,17.0,-6.9,1.6,,,0
16,2018,David Fletcher,LAA,80,307,1,35,25,3,0.049,0.111,0.088,0.307,0.275,0.316,0.363,0.297,0.299,86.0,1.8,-3.2,7.3,1.5,,,0
17,2018,Nick Martini,OAK,55,179,1,26,19,0,0.117,0.201,0.118,0.379,0.296,0.397,0.414,0.357,0.331,131.0,0.9,7.5,-1.4,1.2,,,0
18,2018,Jesse Winker,CIN,89,334,7,38,43,0,0.147,0.138,0.132,0.336,0.299,0.405,0.431,0.366,0.366,127.0,-2.1,9.1,-7.5,1.2,1.0,,0
19,2018,Willy Adames,TBR,85,323,10,43,34,6,0.096,0.294,0.128,0.378,0.278,0.348,0.406,0.328,0.285,110.0,0.0,3.9,-3.2,1.2,1.0,,1
20,2018,Ji Man Choi,2 Tms,61,221,10,25,32,2,0.118,0.249,0.242,0.315,0.263,0.357,0.505,0.367,0.349,136.0,-1.1,8.5,-5.5,1.1,,,0
21,2018,Tyler O'Neill,STL,61,142,9,29,23,2,0.049,0.401,0.246,0.364,0.254,0.303,0.5,0.34,0.315,116.0,0.6,3.4,2.6,1.1,1.0,,0
22,2018,Franmil Reyes,SDP,87,285,16,36,31,0,0.084,0.281,0.218,0.345,0.28,0.34,0.498,0.36,0.329,129.0,-1.4,8.6,-7.4,1.0,,,0
23,2018,Jake Cave,MIN,91,309,13,54,45,2,0.058,0.33,0.208,0.363,0.265,0.313,0.473,0.332,0.34,109.0,-1.2,2.2,-3.0,1.0,,,0
24,2018,Ryan O'Hearn,KCR,44,170,12,23,30,0,0.118,0.265,0.336,0.293,0.262,0.353,0.597,0.398,0.345,153.0,-2.8,7.9,-4.1,1.0,,,0
25,2018,Brandon Lowe,TBR,43,148,6,16,25,2,0.108,0.257,0.217,0.279,0.233,0.324,0.45,0.334,0.334,114.0,0.8,3.4,0.0,0.9,,,1
26,2018,Willians Astudillo,MIN,30,97,3,9,21,0,0.021,0.031,0.161,0.341,0.355,0.371,0.516,0.379,0.352,141.0,-0.3,4.4,0.6,0.9,,,0
27,2018,David Bote,CHC,74,210,6,23,33,3,0.09,0.286,0.168,0.314,0.239,0.319,0.408,0.314,0.346,96.0,-1.1,-2.1,3.4,0.8,,,0
28,2018,Ryan LaMarre,2 Tms,76,180,2,15,18,2,0.056,0.294,0.103,0.389,0.279,0.322,0.382,0.306,0.271,92.0,0.2,-1.6,2.6,0.7,,,0
29,2018,Pablo Reyes,PIT,18,63,3,9,7,0,0.079,0.175,0.19,0.318,0.293,0.349,0.483,0.359,0.319,126.0,0.0,2.0,2.9,0.7,,,0
30,2018,Danny Jansen,TOR,31,95,3,12,8,0,0.095,0.179,0.185,0.274,0.247,0.347,0.432,0.34,0.314,115.0,-0.9,0.8,2.7,0.7,1.0,,1
31,2018,Lourdes Gurriel Jr.,TOR,65,263,11,30,35,1,0.034,0.224,0.165,0.326,0.281,0.309,0.446,0.322,0.321,102.0,-0.9,-0.2,-2.5,0.6,,,0
32,2018,Victor Robles,WSN,21,66,3,8,10,3,0.061,0.182,0.237,0.311,0.288,0.348,0.525,0.37,0.319,131.0,0.2,2.7,1.5,0.6,1.0,1.0,1
33,2018,Roman Quinn,PHI,50,143,2,13,12,10,0.07,0.245,0.153,0.34,0.26,0.317,0.412,0.316,0.271,97.0,0.8,0.2,1.3,0.6,,,0
34,2018,Tyler Austin,2 Tms,69,268,17,34,47,1,0.071,0.354,0.25,0.289,0.23,0.287,0.48,0.325,0.336,104.0,-1.2,0.2,-3.8,0.6,,,0
35,2018,Colin Moran,PIT,144,465,11,49,58,0,0.084,0.176,0.13,0.316,0.277,0.34,0.407,0.322,0.327,102.0,-4.8,-3.7,-5.2,0.5,,,0
36,2018,Peter O'Brien,MIA,22,74,4,8,10,0,0.095,0.297,0.258,0.341,0.273,0.338,0.53,0.366,0.384,135.0,0.0,3.2,-0.5,0.5,,,0
37,2018,Austin Meadows,2 Tms,59,191,6,19,17,5,0.052,0.209,0.174,0.336,0.287,0.325,0.461,0.332,0.316,109.0,1.0,3.1,-4.3,0.5,1.0,1.0,1
38,2018,Steven Duggar,SFG,41,152,2,20,17,5,0.066,0.289,0.135,0.354,0.255,0.303,0.39,0.297,0.246,87.0,1.2,-1.2,1.1,0.5,,,0
39,2018,Greg Allen,CLE,91,291,2,36,20,21,0.048,0.199,0.087,0.32,0.257,0.31,0.343,0.288,0.292,76.0,2.9,-5.3,-0.1,0.5,,,0
40,2018,Isiah Kiner-Falefa,TEX,111,396,4,43,34,7,0.071,0.157,0.096,0.306,0.261,0.325,0.357,0.301,0.288,79.0,0.1,-9.7,0.6,0.5,,,0
41,2018,Johnny Field,2 Tms,84,233,9,28,21,4,0.03,0.309,0.181,0.284,0.222,0.254,0.403,0.281,0.237,78.0,1.6,-4.6,0.9,0.4,,,0
42,2018,José Briceño,LAA,46,128,5,12,10,0,0.063,0.273,0.145,0.299,0.239,0.299,0.385,0.3,0.301,88.0,-0.9,-2.7,2.3,0.4,,,0
43,2018,Franklin Barreto,OAK,32,75,5,10,16,0,0.013,0.387,0.26,0.308,0.233,0.253,0.493,0.315,0.273,102.0,0.4,0.5,0.8,0.4,1.0,,1
44,2018,Ronald Guzmán,TEX,123,428,16,46,58,1,0.077,0.283,0.181,0.299,0.235,0.306,0.416,0.312,0.289,87.0,0.5,-6.2,-4.6,0.4,,,0
45,2018,DJ Stewart,BAL,17,47,3,8,10,2,0.085,0.255,0.3,0.269,0.25,0.34,0.55,0.373,0.278,138.0,0.0,2.1,0.1,0.4,,,0
46,2018,Aramis Garcia,SFG,19,65,4,8,9,0,0.031,0.477,0.206,0.5,0.286,0.308,0.492,0.341,0.238,117.0,-0.1,1.2,0.6,0.4,,,0
47,2018,Reese McGuire,TOR,14,33,2,5,4,1,0.061,0.273,0.29,0.35,0.29,0.333,0.581,0.385,0.312,145.0,0.4,2.1,0.3,0.4,,,0
48,2018,Mitch Garver,MIN,103,335,7,38,45,0,0.087,0.215,0.146,0.33,0.268,0.335,0.414,0.325,0.309,104.0,0.3,1.7,-9.7,0.4,,,0
49,2018,Brett Phillips,2 Tms,51,147,2,15,11,1,0.075,0.415,0.119,0.319,0.187,0.252,0.306,0.246,0.224,49.0,1.2,-7.8,6.3,0.3,,,0
50,2018,Rowdy Tellez,TOR,23,73,4,10,14,0,0.027,0.288,0.3,0.391,0.314,0.329,0.614,0.392,0.309,150.0,-0.2,4.2,-3.4,0.3,,,0
51,2018,Franchy Cordero,SDP,40,154,7,19,19,5,0.091,0.357,0.201,0.338,0.237,0.307,0.439,0.322,0.356,104.0,0.3,1.0,-2.8,0.3,,,0
52,2018,Christian Arroyo,TBR,20,59,1,5,6,0,0.102,0.271,0.132,0.361,0.264,0.339,0.396,0.323,0.309,107.0,-0.1,0.4,0.4,0.3,1.0,,0
