Team_Abbr,query_year,query_month,G,GS,SV,IP,H,R,ER,BB,SO,HR,HBP,AB,IBB,GDP,ERA,SO9,BB9
ARI,2017,4,80.0,0.0,6.0,82.0,77.0,47.0,43.0,27.0,84.0,11.0,3.0,313.0,1.0,8.0,4.719512195121951,9.21951219512195,2.9634146341463414
ATH,2017,4,73.0,2.0,6.0,83.0,83.0,58.0,51.0,32.0,69.0,12.0,5.0,322.0,1.0,6.0,5.53012048192771,7.481927710843373,3.4698795180722892
ATL,2017,4,67.0,0.0,4.0,65.67,61.0,37.0,33.0,24.0,57.0,9.0,2.0,247.0,2.0,9.0,4.522613065326633,7.811786203746003,3.2891731384193696
BAL,2017,4,75.0,2.0,10.0,90.33,86.0,38.0,37.0,39.0,85.0,10.0,7.0,344.0,1.0,8.0,3.6864828960478246,8.46894719362338,3.8857522417801396
BOS,2017,4,69.0,0.0,8.0,72.0,50.0,20.0,19.0,31.0,68.0,4.0,3.0,259.0,1.0,7.0,2.375,8.5,3.875
CHC,2017,4,82.0,0.0,6.0,78.33,53.0,31.0,25.0,36.0,89.0,8.0,3.0,280.0,1.0,10.0,2.872462657985446,10.225967062428188,4.136346227499042
CHW,2017,4,67.0,0.0,5.0,74.34,47.0,17.0,16.0,25.0,89.0,8.0,2.0,259.0,1.0,10.0,1.937046004842615,10.774818401937045,3.0266343825665856
CIN,2017,4,78.0,1.0,6.0,100.33,77.0,45.0,42.0,46.0,120.0,10.0,5.0,366.0,5.0,7.0,3.767567028804944,10.76447722515698,4.1263829363101765
CLE,2017,4,69.0,0.0,7.0,68.0,59.0,22.0,17.0,23.0,78.0,2.0,2.0,257.0,1.0,7.0,2.25,10.323529411764705,3.044117647058824
COL,2017,4,86.0,0.0,12.0,90.34,78.0,47.0,43.0,32.0,94.0,7.0,3.0,341.0,1.0,10.0,4.2838166924950185,9.364622537082132,3.187956608368386
DET,2017,4,76.0,0.0,8.0,76.99,89.0,63.0,55.0,41.0,81.0,17.0,6.0,316.0,4.0,5.0,6.429406416417717,9.468762176906093,4.792830237693207
HOU,2017,4,72.0,0.0,7.0,80.34,58.0,28.0,26.0,33.0,100.0,7.0,2.0,294.0,0.0,2.0,2.912621359223301,11.202389843166541,3.696788648244959
KCR,2017,4,73.0,0.0,3.0,72.33,70.0,45.0,42.0,38.0,57.0,7.0,1.0,276.0,4.0,9.0,5.226047283284944,7.092492741600996,4.728328494400664
LAA,2017,4,76.0,0.0,9.0,81.01,62.0,33.0,31.0,21.0,93.0,12.0,3.0,295.0,1.0,6.0,3.444019256881866,10.332057770645598,2.3330453030490066
LAD,2017,4,78.0,0.0,7.0,78.66,70.0,31.0,30.0,30.0,92.0,5.0,0.0,294.0,4.0,7.0,3.4324942791762014,10.526315789473685,3.4324942791762014
